code,name
!keke rural,Rural District
!keke university,Administrative Office
!keke bedsitter,Bed-Sitter
!keke linehouse,Line Houses
!keke immigration,Immigration Office
!keke rental,Rental Desk
!keke police,Police Station
!keke clerk,Clerk Office
!keke hotel,Hotel Reception
!keke estate,Private Estate
!keke duplex,Luxury Duplex
!keke penthouse,Penthouse
!keke govhouse,Governor Penthouse
!keke govoffice,Governor Office
!keke depoffice,Deputy Governor Office
!keke cos,Chief of Staff
!keke secretariat,State Secretariat
!keke council,Council
!keke cityhall,City Hall
!keke bank,Banking Hall
!keke miniflat,Mini Flat
!keke 2bedroom,Two Bedroom Flat
!keke 3bedroom,Three Bedroom Flat
!keke nepa,Help Desk
!keke hospital,Hospital Lobby
!keke school,School Building
!keke broadcast,Broadcasting Station
!keke market,Market District
!keke auto,Automotive District
!keke transport,Transport District
!keke commercial,Commercial District
!keke industrial,Industrial District
!keke oilwell,Oil Well
