code,name
!danfo rural,Rural District
!danfo lda,Administrative Block
!danfo bedsitter,Bed-Sitter
!danfo linehouse,Line Houses
!danfo immigration,Immigration Office
!danfo rental,Rental Desk
!danfo police,Police Station
!danfo clerk,Clerk Office
!danfo hotel,Hotel Reception
!danfo estate,Private Estate
!danfo duplex,Luxury Duplex
!danfo penthouse,Penthouse
!danfo govhouse,Governor Penthouse
!danfo govoffice,Governor Office
!danfo depoffice,Deputy Governor Office
!danfo cos,Chief of Staff
!danfo secretariat,State Secretariat
!danfo council,Council
!danfo cityhall,City Hall
!danfo bank,Banking Hall
!danfo miniflat,Mini Flat
!danfo 2bedroom,Two Bedroom Flat
!danfo 3bedroom,Three Bedroom Flat
!danfo nepa,Help Desk
!danfo hospital,Hospital Lobby
!danfo school,School Building
!danfo broadcast,Broadcasting Station
!danfo market,Market District
!danfo auto,Automotive District
!danfo transport,Transport District
!danfo commercial,Commercial District
!danfo industrial,Industrial District
!danfo seaport,Sea Port
